Código;Nombre comercial;Razón social;Dirección;Población;CP;Horario;Confianza;Fuente asociada;Tipo fuente;Fecha comprobación;Nota horario;Estado;Jornada;Orden;Día previsto;Hora prevista;Estado previsto
1583;INDUSTRIALES Y FURGONETAS DEL SUR SL;INDUSTRIALES Y FURGONETAS DEL SUR SL;Calle GEA 3, 41710, Utrera, Sevilla, España;Utrera;41710;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;15;3;Viernes;10:58;Horario no verificado · confirmar antes
1532;REPLAC;MANUEL MATAS MONTAÑO REPLAC;Calle ARROYO 23 (LOCAL), 41003, Sevilla, Sevilla, España;Sevilla;41003;Lunes 09:30-13:45 / 17:30-19:30 | Martes 09:30-13:45 / 17:30-19:30 | Miércoles 09:30-13:45 / 17:30-19:30 | Jueves 09:30-13:45 / 17:30-19:30 | Viernes 09:30-14:00 | Sábado Cerrado | Domingo Cerrado;high;Replac M Matas placas de matrícula rótulos;google-maps;2026-09-21;;verified;9;9;Jueves;12:29;Abierto · cierra 13:45
1526;CORTATE ROTULACIONES Y PROYECTOS SOCIEDAD LIMITADA;CORTATE ROTULACIONES Y PROYECTOS SOCIEDAD LIMITADA;Calle PERGAMINO 11, 41016, Sevilla, Sevilla, España;Sevilla;41016;Lunes 08:00-14:00 / 15:00-17:00 | Martes 08:00-14:00 / 15:00-17:00 | Miércoles 08:00-14:00 / 15:00-17:00 | Jueves 08:00-14:00 / 15:00-17:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Córtate Rotulaciones y Proyectos;official-web;2026-09-21;;verified;8;1;Miércoles;08:00;Apertura 08:00 · cierra 14:00
1523;REPUESTOS EDUARDO;MANUEL LOPEZ RODRIGUEZ;Calle HOSTELERIA 12 POLIGONO INDUSTRIAL SAN RAFAEL, 41620, Marchena, Sevilla, España;Marchena;41620;Lunes 09:00-14:00 / 16:00-20:00 | Martes 09:00-14:00 / 16:00-20:00 | Miércoles 09:00-14:00 / 16:00-20:00 | Jueves 09:00-14:00 / 16:00-20:00 | Viernes 09:00-14:00 / 16:00-20:00 | Sábado 10:00-13:00 | Domingo Cerrado;high;Auto Recambios Eduardo;google-business;2026-09-21;;verified;15;7;Viernes;16:00;Apertura 16:00 · cierra 20:00
1514;(TECONOMOVIL);JOSE GUTIERREZ VALLE;P.I. EL MURO C/TECNOLOGIA, 18-20, 41720, Los Palacios Y Villafranca, Sevilla, España;Los Palacios Y Villafranca;41720;Lunes 07:00-15:00 | Martes 07:00-15:00 | Miércoles 07:00-15:00 | Jueves 07:00-15:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Tecnomóvil;google-business;2026-09-21;;verified;5;7;Viernes;11:41;Abierto · cierra 15:00
1511;PEDRO RODRIGO BENITEZ ARVEZ;PEDRO RODRIGO BENITEZ ARVEZ;Avenida DEL ALJARAFE 65 LOCAL 2, Bormujos, Sevilla, España;Bormujos;;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;16;1;Lunes;10:00;Horario no verificado · confirmar antes
1502;HISPANIA DE IMPORTACION Y VENTA Sl;HISPANIA DE IMPORTACION Y VENTA Sl;Avenida CRISTOBAL COLON 39, 41701, Dos Hermanas, Sevilla, España;Dos Hermanas;41701;Lunes 09:30-14:00 / 16:30-21:30 | Martes 09:30-14:00 / 16:30-21:30 | Miércoles 09:30-14:00 / 16:30-21:30 | Jueves 09:30-14:00 / 16:30-21:30 | Viernes 09:30-14:00 / 16:30-21:30 | Sábado 10:00-13:30 | Domingo Cerrado;high;PlusAuto Motor;google-business;2026-09-21;;verified;2;4;Martes;09:30;Apertura 09:30 · cierra 14:00
1493;TALLERES RAFAEL ROMERO SL;TALLERES RAFAEL ROMERO SL;CARRETERA EL PEDROSO NUMERO 5, 41370, Cazalla De La Sierra, Sevilla, España;Cazalla De La Sierra;41370;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 / 17:00-20:00 | Sábado Cerrado | Domingo Cerrado;medium;Talleres Rafael Romero;google-business;2026-09-21;"Google publica Carr. el Judío 5; fichero Carretera El Pedroso 5.";associated;18;7;Miércoles;12:57;Abierto · cierra 14:00
1488;TARSIS AUTOMOCION 360 SL;TARSIS AUTOMOCION 360 SL;AUTOPISTA SAN PABLO, S/N EDIFICIO SYRSA, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;9;13;Jueves;14:27;Abierto · cierra 18:00
1487;SYRSA SOLUCIONES SL;SYRSA SOLUCIONES SL;AUTOPISTA SAN PABLO, S/N, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;9;12;Jueves;13:58;Abierto · cierra 18:00
1486;SYRSA CAT SL;SYRSA CAT SL;AUTOPISTA SAN PABLO, S/N EDIFICIO SYRSA, CP, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;9;11;Jueves;13:29;Abierto · cierra 18:00
1485;SYRSA ALMERIA SL;SYRSA ALMERIA SL;AUTOPISTA SAN PABLO, S/N EDIFIO SYRSA KM, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;9;10;Jueves;13:00;Abierto · cierra 18:00
1484;SYRMOTOR ANDALUCIA SL;SYRMOTOR ANDALUCIA SL;AUTO DE SAN PABLO S/N -EDIFICIO SYRSA, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;8;15;Miércoles;15:22;Abierto · cierra 18:00
1483;SERVICIOS Y REPARACIONES HUELVA SL;SERVICIOS Y REPARACIONES HUELVA SL;Calle AUTOPISTA DE SAN PABLO, S/N, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;low;Grupo SYRSA - sede/centros Sevilla;group-hours;2026-09-21;"La razón social no identifica por sí sola un mostrador visitable. Horario orientativo del grupo; confirmar cita.";associated;;;;;
1482;SERVICIOS Y REPARACIONES SEVILLA SL;SERVICIOS Y REPARACIONES SEVILLA SL;Calle AUTOPISTA DE SAN PABLO, S/N, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;8;14;Miércoles;14:53;Abierto · cierra 18:00
1481;G MAS C HISPALENSE SL;G MAS C HISPALENSE SL;Calle AUTOPISTA DE SAN PABLO, S/N, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;8;13;Miércoles;14:24;Abierto · cierra 18:00
1480;ANDALMOTOR AUTOMOCION SL;ANDALMOTOR AUTOMOCION SL;Calle AUTOPISTA DE SAN PABLO, S/N, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;low;Grupo SYRSA - sede/centros Sevilla;group-hours;2026-09-21;"La razón social no identifica por sí sola un mostrador visitable. Horario orientativo del grupo; confirmar cita.";associated;;;;;
1479;TARSIS TRAMITALIA 360 SLP;TARSIS TRAMITALIA 360 SLP;AUTOPISTA SAN PABLO, S/N EDIFICIO SYRSA KM, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;8;12;Miércoles;13:55;Abierto · cierra 18:00
